Longtitude,Latitude,SpeedLimit,CameraType,Angle,Direction,Flag
292067029,268973697,60,0,39,1,0
292031504,268982841,60,0,104,0,0
294429609,276842766,70,0,8,0,0
294390776,276655434,100,0,10,0,0
295502525,276110284,100,0,0,3,0
298107586,276419705,100,0,35,0,0
297947398,275103931,70,0,7,0,0
296874801,274901490,100,0,66,0,0
294425211,273935746,100,0,57,0,0
294265426,273837898,100,0,42,0,0
293046241,272779042,90,0,85,2,0
294049213,274853163,70,0,67,1,0
293818913,275047702,60,0,154,0,0
293483552,275215323,60,0,66,3,0
295196556,273236435,90,0,70,0,0
295123135,273204607,90,0,55,0,0
292946849,269418573,100,0,109,0,0
293156753,269394181,100,0,35,1,0
292793107,269053700,70,0,102,1,0
292332856,269317274,100,0,12,0,0
292112661,269326766,70,0,80,0,0
290742860,266593263,60,0,119,0,0
290685431,266582429,60,0,35,0,0
290800771,266760449,60,0,92,1,0
292187959,270339941,100,0,14,0,0
292243956,270625766,100,0,17,0,0
292321422,270792291,70,0,68,3,0
292420067,270839449,100,0,15,0,0
292481994,271128636,100,0,195,0,0
292557493,271790579,100,0,216,0,0
292881259,272822082,100,0,11,2,0
292989756,273520785,100,0,4,2,0
293068145,273803857,100,0,190,0,0
293067537,273879296,100,0,174,0,0
293200803,274372940,100,0,0,2,0
293233189,274953925,100,0,6,0,0
293251555,275354837,80,0,225,0,0
293422268,275352577,60,0,66,1,0
292138304,268933748,70,0,34,1,0
292527093,269592249,100,0,201,0,0
292672336,270523570,100,0,14,0,0
292708826,270676897,100,0,189,0,0
291895474,268329699,110,0,20,0,0
291721208,267862592,100,0,219,0,0
292382892,271011353,60,0,102,3,0
291610168,268984878,60,0,199,0,0
291488014,268470239,60,0,23,2,0
292790130,267718252,120,0,62,0,0
293345391,267127709,90,0,68,3,0
293730862,266949255,110,0,123,0,0
294138884,250945106,100,0,99,3,0
293722613,252063925,100,0,86,5,0
290004631,265096064,100,0,213,0,0
291497040,265230064,100,0,4,0,0
293341092,269282171,60,0,68,3,0
293130736,247891962,60,0,66,3,0
293081248,247898934,60,0,30,2,0
293106359,247971003,60,0,40,2,0
293581854,249211654,100,0,14,2,0
294147533,251401341,100,0,20,2,0
294717418,252344767,100,0,22,2,0
295665757,258605843,100,0,19,2,0
293630176,261148145,100,0,47,1,0
293028627,255653577,100,0,96,3,0
293718909,249674368,100,0,13,2,0
295618687,258243259,100,0,15,2,0
298399461,277785031,100,0,102,1,0
298312479,276751913,100,0,202,0,0
298153083,276405888,100,0,157,0,0
298171937,276248366,100,0,193,0,0
297969197,276035398,100,0,58,0,0
297675168,276082998,100,0,13,3,0
297232924,276126189,100,0,133,0,0
297628176,275914581,100,0,178,0,0
298977576,274971279,90,0,0,0,0
295579944,277040452,100,0,86,2,0
295128762,276992840,100,0,4,1,0
294414550,276231928,100,0,180,0,0
296298905,276193211,60,0,70,2,0
295666664,276123314,100,0,19,3,0
295128252,276089004,100,0,76,0,0
294906869,276092467,100,0,100,0,0
294985519,275537220,100,0,26,0,0
294719819,274977388,100,0,223,0,0
294439434,272685403,100,0,5,1,0
292470513,271233626,60,0,188,0,0
292066908,270041409,100,0,16,2,0
296952826,275217654,100,0,62,0,0
293788298,275104284,70,0,72,1,0
293694255,275049013,60,0,30,1,0
293546028,275145159,60,0,81,2,0
293061550,269326187,120,0,4,2,0
292066789,269218881,60,0,54,0,0
291724428,268841822,60,0,111,0,0
291803714,268624691,60,0,73,1,0
292878196,268485536,90,0,33,2,0
292219547,268276110,100,0,74,3,0
295016188,267371653,100,0,105,0,0
290705076,266750086,60,0,28,2,0
290628812,266265465,100,0,206,0,0
290808277,262828199,100,0,17,1,0
292305059,261907291,100,0,29,3,0
293352521,267023356,100,0,60,2,0
291638010,264569391,100,0,88,1,0
294611221,266750817,100,0,76,0,0
295569484,266737963,60,0,78,3,0
295352981,266522224,60,0,3,2,0
291300731,262449948,100,0,141,0,0
291622190,264698396,100,0,162,0,0
290368781,265876722,100,0,20,2,0
293452666,266246836,60,0,6,2,0
293809830,266880277,100,0,57,1,0
293483703,267110398,110,0,91,3,0
295229647,266539451,90,0,94,3,0
295556522,266760106,60,0,205,0,0
292215514,267924342,60,0,174,0,0
291772520,268665618,60,0,42,1,0
292812009,268796337,100,0,177,0,0
291863908,268998583,60,0,194,0,0
291885476,269106802,60,0,56,0,0
291972502,269135294,60,0,253,0,0
292382196,271088262,60,0,9,0,0
294458940,274289001,100,0,88,1,0
293645261,275238967,70,0,71,1,0
293797269,275084996,60,0,71,1,0
293991783,274857606,60,0,49,0,0
297033261,274884762,100,0,185,0,0
297908677,275059535,60,0,71,0,0
294067943,274891450,90,0,55,3,0
293654611,274999606,60,0,120,0,0
296260688,273661525,70,0,48,2,0
292813894,271232146,100,0,10,0,0
292532611,269431941,100,0,115,0,0
295521629,266759876,60,0,18,3,0
295143747,266386391,60,0,135,0,0
292119639,269826175,60,0,194,0,0
292155875,269204547,60,0,20,1,0
291800371,268731719,90,0,40,3,0
291747631,268476655,60,0,88,2,0
292847535,268216055,110,0,53,3,0
293181824,268258160,90,0,24,2,0
291681830,267795917,90,0,24,2,0
292988425,266948429,90,0,243,2,0
290777262,266822753,60,0,204,0,0
291738169,264136259,100,0,22,0,0
290168323,264255792,100,0,153,0,0
295262499,266296271,60,0,182,0,0
295268514,266682204,60,0,86,1,0
297959976,275023784,60,0,83,3,0
296607599,274811673,100,0,2,1,0
293882022,274856259,60,0,88,0,0
295533426,273364257,100,0,66,0,0
292790903,272424419,100,0,222,0,0
293080242,269503140,100,0,191,0,0
292544306,269265146,60,0,28,3,0
292826086,269112945,60,0,42,1,0
291626159,269043306,60,0,197,0,0
291426027,268499432,60,0,63,3,0
291584570,268267020,60,0,50,3,0
291899881,268214713,60,0,81,3,0
292559353,267379312,120,0,197,0,0
293043157,267706384,110,0,79,1,0
290824543,266920060,60,0,23,0,0
291811579,262822449,100,0,13,0,0
295270867,266357354,60,0,22,0,0
295308534,266802670,70,0,198,0,0
291654248,266855823,60,0,36,2,0
293708961,275158424,70,0,59,1,0
293734661,275037729,60,0,46,1,0
293909888,272405818,120,0,8,2,0
292044743,269176239,60,0,54,0,0
291622045,268741484,60,0,24,3,0
291768282,268530848,60,0,32,3,0
292750585,268281297,110,0,53,3,0
291732238,264413038,90,0,86,1,0
290587730,262969046,100,0,144,0,0
294703889,267373762,100,0,128,0,0
294697246,266767555,110,0,106,0,0
295350591,266599972,60,0,103,3,0
294392543,275629040,70,0,8,0,0
293341550,275362189,60,0,50,1,0
293698201,274997166,60,0,98,0,0
293704359,274863194,60,0,58,1,0
294119844,274834306,90,0,75,3,0
295235522,275044268,100,0,14,3,0
294121282,273701812,100,0,34,0,0
296200213,273634469,70,0,62,2,0
292373540,270876469,60,0,68,3,0
295578674,266969496,70,0,22,0,0
293121134,266977981,100,0,13,3,0
292008684,269641902,100,0,12,2,0
292501815,269305836,60,0,159,0,0
292718392,269260136,60,0,237,0,0
293213800,269558023,120,0,220,0,0
291410877,268545992,60,0,97,3,0
291727753,268225789,60,0,207,0,0
291913049,267844055,60,0,13,2,0
292137647,267595293,60,0,95,3,0
292369165,266999329,120,0,214,0,0
293074939,268114636,100,0,57,1,0
293707550,267744526,100,0,127,0,0
295319951,266771460,60,0,103,1,0
295253009,266343255,60,0,40,1,0
290724619,266903624,60,0,35,2,0
291768700,266396054,100,0,222,0,0
290002065,265621161,60,0,190,0,0
291687742,263705237,100,0,58,1,0
293269973,274016747,90,0,185,0,0
293212224,272985440,60,0,33,2,0
293189632,268343536,90,0,4,2,0
292176480,261985440,90,0,16,0,0
294415168,275512000,60,0,205,0,0
290969439,266725911,100,0,216,0,0
292113410,268776358,100,0,128,0,0
291411618,267720041,110,0,187,0,0
292008729,268296721,70,0,196,0,0
292409315,268721459,90,0,26,1,0
292033833,268268342,60,0,24,0,0
291828726,269265409,70,0,86,0,0
292717893,269708403,60,0,0,0,0
293594303,271056161,70,0,182,0,0
293820551,267603402,80,0,8,2,0
291623200,265520368,100,0,86,1,0
291856976,262401046,80,0,166,0,0
292237872,269924915,70,0,98,0,0
291919335,269595782,90,0,36,2,0
291893352,269546035,90,0,12,2,0
291835228,269377729,80,0,13,2,0
291775065,269291230,70,0,0,1,0
292364743,269951009,70,0,10,2,0
292459826,269969712,60,0,106,0,0
292475699,270051457,60,0,90,2,0
292902868,269981119,70,0,108,0,0
294280455,276130312,60,0,145,0,0
294296347,276148526,60,0,172,0,0
294294663,276187483,60,0,22,4,0
290211887,265740903,70,0,65,2,0
291908524,268264110,60,0,31,2,0
292759225,269320749,90,0,204,0,0
292444462,270916307,100,0,195,2,0
292473777,271050881,100,0,8,0,0
290812118,266634125,60,0,12,2,0
290817665,266693822,60,0,100,1,0
293047964,269047317,120,0,90,1,0
292431680,269015869,90,0,253,0,0
291714985,268675910,60,0,26,1,0
291564328,267361653,80,0,45,0,0
291655466,267443129,80,0,49,2,0
292892912,269842698,90,0,107,0,0
293005685,269799570,90,0,134,0,0
293436620,275391241,60,0,113,0,0
293714851,275208329,70,0,56,3,0
293262030,275164399,80,0,154,0,0
292934970,273109835,100,0,13,0,0
294338488,275173674,60,0,6,1,0
294718137,275331355,90,0,103,3,0
291999620,269833187,60,0,122,0,0
295379805,266873469,90,0,182,0,0
298184106,276529152,60,0,214,0,0
291931049,269129659,60,0,69,0,0
299037549,278589611,90,0,79,3,0
